stage,units,sr,lr,input_scaling,alpha,acc,macro_f1,balanced_acc
stage2_size,1000,0.8,0.1,0.1,1.0,0.5275,0.48617775567229565,0.4930236179956154
stage2_size,1000,0.8,0.1,0.1,10.0,0.567,0.522854282144829,0.5349510848772543
stage2_size,1000,0.8,0.1,0.1,100.0,0.59,0.546486329033177,0.572328559782773
stage2_size,200,0.99,0.05,0.5,1e-10,0.509,0.4840860523919446,0.5326547074150203
stage2_size,200,0.99,0.05,0.5,1e-09,0.509,0.4840860523919446,0.5326547074150203
stage2_size,200,0.99,0.05,0.5,1e-08,0.509,0.4840860523919446,0.5326547074150203
stage2_size,200,0.99,0.05,0.5,1e-07,0.509,0.4840860523919446,0.5326547074150203
stage2_size,200,0.99,0.05,0.5,1e-06,0.509,0.4840860523919446,0.5326547074150203
stage2_size,200,0.99,0.05,0.5,1e-05,0.509,0.4840860523919446,0.5326547074150203
stage2_size,200,0.99,0.05,0.5,0.0001,0.509,0.4840860523919446,0.5326547074150203
stage2_size,200,0.99,0.05,0.5,0.001,0.509,0.4840860523919446,0.5326547074150203
stage2_size,200,0.99,0.05,0.5,0.01,0.509,0.4840860523919446,0.5326547074150203
stage2_size,200,0.99,0.05,0.5,0.1,0.508,0.48345361488695293,0.5320859771234957
stage2_size,200,0.99,0.05,0.5,1.0,0.508,0.48450362975009514,0.5320859771234957
stage2_size,200,0.99,0.05,0.5,10.0,0.517,0.4973846209620911,0.546534249604874
stage2_size,200,0.99,0.05,0.5,100.0,0.513,0.49418294873107016,0.550844440980993
stage2_size,500,0.99,0.05,0.5,1e-10,0.509,0.455067551339734,0.46994304190811975
stage2_size,500,0.99,0.05,0.5,1e-09,0.509,0.455067551339734,0.46994304190811975
stage2_size,500,0.99,0.05,0.5,1e-08,0.509,0.455067551339734,0.46994304190811975
stage2_size,500,0.99,0.05,0.5,1e-07,0.509,0.455067551339734,0.46994304190811975
stage2_size,500,0.99,0.05,0.5,1e-06,0.509,0.455067551339734,0.46994304190811975
stage2_size,500,0.99,0.05,0.5,1e-05,0.509,0.455067551339734,0.46994304190811975
stage2_size,500,0.99,0.05,0.5,0.0001,0.509,0.455067551339734,0.46994304190811975
stage2_size,500,0.99,0.05,0.5,0.001,0.509,0.455067551339734,0.46994304190811975
stage2_size,500,0.99,0.05,0.5,0.01,0.509,0.455067551339734,0.46994304190811975
stage2_size,500,0.99,0.05,0.5,0.1,0.5095,0.4556645162722985,0.47079030077648687
stage2_size,500,0.99,0.05,0.5,1.0,0.5115,0.45669158047158626,0.4730110075637379
stage2_size,500,0.99,0.05,0.5,10.0,0.53,0.4837099079862618,0.5026876475289721
